,Product,Category,Ingredients
73,NENA Overnight Lip Mask Rating,Lip Balm,Ricinus Communis (Castor) Seed Oil  Helianthus Annuus (Sunflower) Seed Oil  Hydrogenated Castor Oil  Cannabis Sativa Seed Oil  Olea Europaea (Olive) Fruit Oil  Tocopheryl Acetate  Candelilla Cera  Simmondsia Chinensis (Jojoba) Seed Oil  Caprylic/Capric Triglyceride  Pyrus Malus (Apple) Fruit Extract  Rubus Idaeus (Raspberry) Leaf Extract  Vitis Vinifera (Grape) Fruit Extract  Vanilla Planifolia Fruit Extract  Vaccinium Angustifolium (Blueberry) Fruit Extract  Jasminum Officinale (Jasmine) Flower/Leaf Extract  Prunus Armeniaca (Apricot) Fruit Extract  Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract  Chamomilla Recutita (Matricaria) Flower Extract  Elettaria Cardamomum Seed Extract  Citrus Aurantium Dulcis (Orange) Peel Extract  CI 77491  CI 77007  CI 77499
74,"ATTITUDE Super Leaves Plastic Free Deodorant, Orange Leaves Rating",Antiperspirant/Deodorant,Maranta arundinacea (arrowroot) root powder  butyrospermum parkii (shea) butter  sodium bicarbonate  cocos nucifera (coconut) oil  zea mays (corn) starch  stearyl alcohol  cetearyl alcohol  ricinus communis (castor) seed oil  coco caprylate/caprate  euphorbia cerifera (candelilla) wax  copernicia cerifera (carnauba) wax  citrus aurantium dulcis (orange) leaf extract  rosmarinus officinalis (rosemary) leaf extract  decanal (fruit)  pentadecalactone (fruit)  raspberry ketone.
75,"Artifa Natural Unscented Cool N' Safe Deodorant, Kid's Rating",Antiperspirant/Deodorant,Caprylic/Capric Triglyceride  Tapioca Starch  Candelilla Wax  Sodium Bicarbonate  Magnesium Hydroxide  Cocos Nucifera (Coconut) Oil  Cyclodextrin  Butyrospermum Parkii (Shea) Butter  Dextrose  Lactobacillus Acidophilus
76,Organic to Green Moisturizer Artic Skin & Lip Coco Shea Vanilla Rating,Lip Balm,Cocos Nucifera (Coconut) Oil*  Butyrospermum Parkii (Shea Butter)*  Vanilla Tahitensis Fruit (Vanilla) Flavor*. *Certified USDA Organic Ingredients
77,"Lowen's Natural Skin Care Lip Balm, Lime in 'da Coconut Rating",Lip Balm,Alberta Bee's Wax  Alberta Organic Canola Oil  Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes  Vegetable Glycerin  Fair Trade Organic Butyrosperimum Parkii (Shea) Butter  Menthol  Rosmarinus Officinalis (Rosemary) Leaf Oil  Hyaluronic Acid  Citrus Aurantifolia (Lime) Oil  Cocos Nucifera (Coconut) Oil
78,"ATTITUDE Lip Balm, Coconut Rating",Lip Balm,helianthus annuus (sunflower) seed oil  cocos nucifera oil  butyrospermum parkii (shea) butter  helianthus annuus (sunflower) seed wax  behenyl behenate  ricinus communis (castor) seed oil  coco caprylate/caprate  polyhydroxystearic acid  glycine soja (soybean) oil  euphorbia cerifera (candelilla) wax  caprylic/capric triglyceride  rosmarinus officinalis (rosemary) leaf extract  gamma-octalactone*  gamma-nonalactone*  vanillin*  ethyl hexanoate*  ethyl acetate*
79,"Each & Every Aluminum Free Deodorant, Rose & Vanilla Rating",Antiperspirant/Deodorant,Caprylic/Capric Triglyceride  Tapioca Starch  Ozokerite  Magnesium Hydroxide  Magnesium Carbonate  Piroctone Olamine  Juniperus Virginiana Oil  Pelargonium Graveolens Flower Oil  Cymbopogon Martini Oil  Rosa Damascena Flower Oil  Vanilla Planifolia Fruit Extract  Citrus Aurantium Bergamia (Bergamot) Fruit Oil
80,"ATTITUDE Super Leaves Hand Sanitizer, Lemon Leaves Rating",Hand Sanitizer,Active ingredient: Ethyl alcohol 62%  Aqua/water/eau  glycerin  nasturtium officinale (watercress/cresson) extract  tropaeolum majus (Indian cress/capucine) extract  citrus medica limonum (lemon/citron) leaf extract  3-hexenol (green leaves)  triethyl citrate  dimethyl heptenal (fruit).
81,Shaklee Protect Deodorant Rating,Antiperspirant/Deodorant,"Helianthus Annuus (Sunflower) Seed Oil  Maranta Arundinacea (Arrowroot) Root Extract  Triethyl Citrate  Oleic/linoleic/linolenic Polyglycerides  Helianthus Annuus (Sunflower) Seed Wax  Zinc Ricinoleate  Vitis Rotundifolia (Muscadine Grape) Seed Oil  Charcoal Powder  Citronellyl Methylcrotonate  Capryloyl Glycine  Cocos Nucifera (Coconut) Fruit Extract  Lactobacillus  Linoleic Acid  Linolenic Acid  Oleic Acid  Tocopherol  Tocopheryl Acetate  Hydroxyacetophenone  [[DISCLOSED FRAGRANCE]]**  Glycereth-7 Trimethyl Ether  Limonene  Linalool
**COMPONENTS: Cedrol  Citrus Aurantium Amara (Bitter Orange) Peel Oil  Dipropylene Glycol  Ethylene Brassylate  Isopropylideneglycerol  Juniperus Mexicana Oil  Lavandula Angustifolia (Lavender) Flower Extract  Triethyl Citrate"
82,"Honest Beauty Tinted Lip Balm, White Nectarine Rating",Lip Balm,Euterpe Oleracea Sterols  Persea Gratissima (Avocado) Oil  Punica Granatum Sterols  C10-18 Triglycerides  Helianthus Annuus (Sunflower) Seed Wax  Polyhydroxystearic Acid  Vegetable Oil  Behenyl Behenate  Theobroma Cacao (Cocoa) Seed Butter  Linoleic Acid  Oleic Acid  Linolenic Acid  Caprylic/Capric Triglyceride  Vanilla Planifolia Fruit Extract  Dipotassium Glycyrrhizate  Tocopherol  Citric Acid  Silica MAY CONTAIN (+/-): Mica (CI 77019)  Titanium Dioxide (CI 77891)  Iron Oxides (CI 77491  CI 77492  CI 77499)  Red 7 Lake (CI 15850)  VANILLIN.
83,"Each & Every Deodorant, Coconut & Lime Rating",Antiperspirant/Deodorant,Caprylic/capric Triglyceride  Tapioca Starch  Ozokerite  Magnesium Hydroxide  Gamma-Nonalactone  Piroctone Olamine  Magnesium Carbonate Hydroxide  Citrus Aurantifolia Oil  Citrus Aurantium Bergamia Fruit Oil  Vanilla Planifolia Fruit Extract.
84,"ATTITUDE Lip Balm, Unscented Rating",Lip Balm,helianthus annuus (sunflower) seed oil  cocos nucifera (coconut) oil  butyrospermum parkii (shea) butter  helianthus annuus (sunflower) seed wax  behenyl behenate  ricinus communis (castor) seed oil  coco caprylate/caprate  polyhydroxystearic acid  prunus amygdalus dulcis oil  glycine soja (soybean) oil  euphorbia cerifera (candelilla) wax  caprylic/capric triglyceride  calendula officinalis flower extract  rosmarinus officinalis (rosemary) leaf extract.
85,"Each & Every Deodorant, Unscented & Fragrance Free Rating",Antiperspirant/Deodorant,Caprylic/capric Triglyceride  Tapioca Starch  Ozokerite  Magnesium Hydroxide  Piroctone Olamine  Magnesium Carbonate Hydroxide
86,"ATTITUDE Lip Balm, Watermelon Rating",Lip Balm,helianthus annuus (sunflower) seed oil  cocos nucifera (Coconut) oil  butyrospermum parkii (shea) butter  helianthus annuus (sunflower) seed wax  behenyl behenate  ricinus communis (castor) seed oil  coco caprylate/caprate  polyhydroxystearic acid  vitis vinifera (grape) seed oil  euphorbia cerifera (candelilla) wax  caprylic/capric triglyceride  rosmarinus officinalis (rosemary) leaf extract  ethyl butyrate*  ethyl 2-methylbutyrate*  ethyl acetate*  dimethyl heptenal*  ethyl isovalerate*
87,"Lowen's Natural Skin Care Lip Balm, Dave's Not Here Man Rating",Lip Balm,Alberta Bee's Wax  Organic Cannabis Sativa (Hemp) Seed Oil Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes  Vegetable Glycerin  Fair Trade Organic Butyrosperimum Parkii (Shea) Butter  Menthol  Rosmarinus Officinalis  (Rosemary) Leaf Oil  Hyaluronic Acid
88,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Lemongrass Lime Rating",Body Wash/Cleanser,Sucrose  Vitis Vinifera (Grape) Juice  Cocos Nucifera (Coconut) Oil  Elaeis Guineensis (Palm) Kernel Oil  Potassium Hydroxide  Olea Europaea (Olive) Fruit Oil  Cannabis Sativa (Hemp) Seed Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Cymbopogon Schoenanthus (Lemongrass) Oil  Citrus Limon (Lemon) Peel Oil  Citrus Aurantifolia (Lime) Oil  Acacia Concinna (Shikakai) Fruit Powder  Citric Acid  Tocopherol  Citral  Limonene
89,"Dr. Bronner's Organic Lip Balm, Orange Ginger Rating",Lip Balm,Persea Gratissima (Avocado) Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Cera Alba (Beeswax)  Cannabis Sativa (Hemp) Seed Oil  Citrus Aurantium Dulcis (Orange) Peel Oil  Zingiber Officinale (Ginger) Root Oil  Tocopherol  Citral  Geraniol  Linalool  Limonene
90,Elyptol Antimicrobial Hand Sanitizer Gel Rating,Hand Sanitizer,Active Ingredients: Ethyl Alcohol 70%; Inactive Ingredients: Water  Eucalyptol  Vegetable Glycerin  Piroctone Olamine
91,"Each & Every Deodorant, Lavender & Lemon Rating",Antiperspirant/Deodorant,Caprylic/Capric Triglyceride  Tapioca Starch  Ozokerite  Magnesium Hydroxide/Magnesium Carbonate Hydroxide  Lavandula Angustifolia (Lavender) Oil  Lavandula Hybrida Oil  Piroctone Olamine  Citrus Limon (Lemon) Peel Oil
92,"Aramoon Bebe Baby's Xylitol Toothpaste, Fluoride Free Blueberry Rating",Baby Toothpaste,HYDRATED SILICA  SORBITOL  ASCORBIC ACID  SODIUM PCA  XYLITOL  CELLULOSE GUM  GLYCERIN  CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT  CAMELLIA SINENSIS LEAF EXTRACT  CALENDULA OFFICINALIS FLOWER EXTRACT  ANTHEMIS NOBILIS FLOWER EXTRACT  VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT  WATER
93,"ATTITUDE Little Leaves Foaming Hand Soap, Mango Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  coco-glucoside  decyl glucoside  vegetable glycerin  glyceryl oleate  citric acid  sodium gluconate  sodium citrate  vaccinium angustifolium (blueberry / bleuet) leaf extract  maltodextrin  moringa oleifera seed extract  sodium benzoate  potassium sorbate  dimethyl heptenal (fruit)  gamma-undecalactone (sweet fruit)  pentadecalactone (fruit).
94,Biossance Squalane Hand Sanitizer Rating,Hand Sanitizer,Active ingredient: Alcohol 70%  Water  Squalane  Glycerin  Acrylates/C10-30 Alkyl Acrylate Crosspolymer  Aminomethyl Propanol
95,"ATTITUDE Little Leaves Foaming Hand Soap, Vanilla & Pear Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  coco-glucoside  decyl glucoside  vegetable glycerin  glyceryl oleate  citric acid  sodium gluconate  sodium citrate  vaccinium angustifolium (blueberry / bleuet) leaf extract  maltodextrin  moringa oleifera seed extract  sodium benzoate  potassium sorbate  triethyl citrate  gamma-undecalactone (sweet fruit)  hexyl acetate (fruit)  vanillin.
96,Skin Perfection Organic Fresh Mint Lip Balm Rating,Lip Balm,Organic Helianthus Annuus (Sunflower) Seed Oil  Organic Cera Flava (Beeswax)  Organic Cocos Nucifera (Coconut) Oil  Organic Mentha Spicata (Spearmint) Oil  Mixed Tocopherols (Vitamin E)  Organic Rosmarinus Officinalis (Rosemary) Leaf Extract  Organic Calendula Officinalis (Calendula) Flower Extract
97,"ATTITUDE Super Leaves Liquid Hand Soap, Orange Leaves Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress / cresson) extract  tropaeolum magus (indian cress / capucine) extract  maltodextrin  moringa oleifera seed extract  citrus aurantium dulcis (orange) leaf extract  sodium benzoate  potassium sorbate  decanal (fruit)  pentadecalactone (fruit)  raspberry ketone.
98,"Purelygreat Natural Products Natural Deodorant Stick, Floral Rating",Antiperspirant/Deodorant,Caprylic/Capric Triglyceride  Sodium Bicarbonate  Cetyl Alcohol  Cocos Nucifera (coconut) oil  Zea Mays (corn) starch  Glyceryl Stearate  Cetearyl Alcohol  Sodium Stearoyl Lactylate  Euphorbia Cerifera (candelilla) wax  Zinc Ricinoleate  citrus reticulata oil  cymbopogon martinii oil  cedrus deodora oil  pelargonium graveolens oil  rosa damascena oil  linalool*  citronellol*  limonene*  geraniol*
99,"Beautycounter The Clean Deo, Soft Lavender Rating",Antiperspirant/Deodorant,Zea Mays (Corn) Starch*  Caprylic/Capric Triglyceride  Cocos Nucifera (Coconut) Oil*  Sodium Bicarbonate  Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla  Triethyl Citrate  Butyrospermum Parkii (Shea) Butter  Jojoba Esters  Copernicia Cerifera (Carnauba) Wax/Cire de carnauba  Cera Alba/Beeswax/Cire d'abeille  Hydrogenated Castor Oil  Tocopherol  Lavandula Angustifolia (Lavender) Oil  Dipteryx Odorata Seed Extract  Citric Acid  Coumarin+  Linalool+
100,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Tea Tree Rating",Body Wash/Cleanser,Sucrose  Vitis Vinifera (Grape) Juice  Cocos Nucifera (Coconut) Oil  Elaeis Guineensis (Palm) Kernel Oil  Potassium Hydroxide  Olea Europaea (Olive) Fruit Oil  Melaleuca Alternifolia (Tea Tree) Leaf Oil  Cannabis Sativa (Hemp) Seed Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Acacia Concinna (Shikakai) Fruit Powder  Citric Acid  Tocopherol  Limonene
101,"Lowen's Natural Skin Care Lip Balm, Hayseed Rating",Lip Balm,Alberta Bee's Wax  Alberta Organic Canola Oil  Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes  Vegetable Glycerin  Fair Trade Organic Butyrosperimum Parkii (Shea) Butter  Menthol  Rosmarinus Officinalis  (Rosemary) Leaf Oil  Hyaluronic Acid
102,"ATTITUDE Super Leaves Hand Sanitizer, Olive Leaves Rating",Hand Sanitizer,Active ingredient: Ethyl alcohol (72%)  Water  glycerin  nasturtium officinale (watercress) extract  tropaeolum majus (Indian cress) extract  olea europaea (olive) leaf extract  hexyl salicylate  geranyl acetate  hexyl acetate.
103,"Sally B's Skin Yummies Foaming Hand Soap, Citrus Vanilla Rating",Liquid Hand Soap,Purified water  Cocos Nucifera (Coconut) Oil*  Olea Europaea (Olive) Oil*  Simmondsia Chinensis (Jojoba) Seed Oil*  Aloe Barbadensis leaf*  Rosmarinus Officinalis (Rosemary) Leaf Extract  Vegetable Glycerin*  Vanilla Planiforia Fruit Extract  Citrus Sinensis (Orange) Oil*  Citrus Aurantium (Neroli) Oil  Coreandrum officianalis (Coriander) Oil*  Citrus bergamia (bergamot) Oil*  Andropogon zizanioides (Vetvier) Oil*  Cymbogoon flexuosus (Lemongrass) Oil*  Citrus Limonium (Lemon) OIl*  Salavia sclarea (Clary Sage)Oil*  Zingiber Officinale (Ginger) Oil*
104,"ATTITUDE Super Leaves Hand Soap, Red Vine Leaves Rating",Liquid Hand Soap,Aqua/water/eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress/cresson) extract  tropaeolum magus (Indian cress/capucine) extract  maltodextrin  moringa oleifera seed extract  vitis vinifera (grape) leaf extract  sodium benzoate  potassium sorbate  gamma-undecalactone (fruit)  allyl caproate (fruit)  ionone (floral).
105,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Lavender Rating",Body Wash/Cleanser,Sucrose  Vitis Vinifera (Grape) Juice  Cocos Nucifera (Coconut) Oil  Elaeis Guineensis (Palm) Kernel Oil  Potassium Hydroxide  Olea Europaea (Olive) Fruit Oil  Cannabis Sativa (Hemp) Seed Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Lavandula Angustifolia (Lavender) Oil  Acacia Concinna (Shikakai) Fruit Powder  Citric Acid  Tocopherol  Geraniol  Linalool  Limonene
106,"Christopher's Organics Organic Deodorant, Mr. and Mrs. Peppermint Rating",Antiperspirant/Deodorant,Fair Trade Organic Cold-Pressed Virgin Cocos Nucifera (Coconut) Oil  Organic Copernicia Cerifera (Carnauba) Wax  Organic Maranta Arundinacea (Arrowroot) Root Powder  Sodium Bicarbonate (Baking Soda)  Organic Mentha Piperita (Peppermint) Essential Oil  Organic Simmondsia Chinesis (Jojoba) Seed Oil
107,"Thinksport Natural Deodorant, Unscented Rating",Antiperspirant/Deodorant,COCOS NUCIFERA (COCONUT OIL) (1)  EUPHORBIA CERIFERA (CANDELILLA) WAX (1)  CERA ALBA (BEESWAX) (1)  ZEA MAYS (CORN STARCH) (1)  MARANTA ARUNDINACEA (ARROWROOT) POWDER) (1)  SODIUM BICARBONATE (1)  BUTYROSPERMUM PARKII (SHEA) BUTTER (1)  
108,DO Naturals Lip Balm (2016 formulation) Rating,Lip Balm,Helianthus Annuus (Sunflower) Oil  Euphorbia Cerifera (Candelilla) Wax  Butyrospermum Parkii(Shea) Butter  Cannabis Sativa(Hemp) Seed Oil  Rosmarinus Officinaus (Rosemary) Leaf Extract  Tocopherol (Vitamin E)
109,"Lowen's Natural Skin Care Lip Balm, Funky Cold Camelina Rating",Lip Balm,Alberta Bee's Wax  Camelina sativa seed (Camelina) oil  Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes  Vegetable Glycerin  Fair Trade Organic Butyrosperimum Parkii (Shea) Butter  Menthol  Rosmarinus Officinalis  (Rosemary) Leaf Oil  Hyaluronic Acid
110,"ATTITUDE Little Leaves Foaming Hand Soap, Blueberry Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  coco-glucoside  decyl glucoside  vegetable glycerin  glyceryl oleate  citric acid  sodium gluconate  sodium citrate  vaccinium angustifolium (blueberry / bleuet) leaf extract  maltodextrin  moringa oleifera seed extract  sodium benzoate  potassium sorbate  triethyl citrate  raspberry ketone  decanal (fruit)  3-hexenol (green leaves).
111,"Dr. Bronner's Organic Lip Balm, Lemon Lime Rating",Lip Balm,Persea Gratissima (Avocado) Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Cera Alba (Beeswax)  Cannabis Sativa (Hemp) Seed Oil  Citrus Limon (Lemon) Peel Oil  Citrus Aurantifolia (Lime) Oil  Tocopherol  Citral  Geraniol  Linalool  Limonene
112,isoi Bulgarian Rose Lip Treatment Balm (Pure Red) Rating,Lip Balm,Ricinus Communis (Castor) Seed Oil  Euphorbia Cerifera (Candelilla) Wax  Simmondsia Chinensis (Jojoba) Seed Oil  Rosa Canina Fruit Oil  Macadamia Ternifolia Seed Oil  Rosa Damascena Flower Oil  Vitis Vinifera (Grape) Seed Oil  Copernicia Cerifera (Carnauba) Wax  Beeswax  Polyglyceryl-3 Polyricinoleate  Sodium Citrate  Dextrin  Carmine  Potassium Alum
113,"Better & Better Remarkably Pure Toothpaste, Bettermint Rating",Toothpaste,Organic Vegetable Glycerin  Water (Aqua)  Calcium Carbonate  Organic Cocos Nucifera (Coconut) Oil  Organic Cocos Nucifera (Coconut) Fruit Powder  Organic Xylitol  Sodium Cocoyl Glutamate  Sodium Bicarbonate (Baking Soda)  Leuconostoc/Radish Root Fermant Filtrate  Organic Mentha Spicata (Spearmint) Leaf Oil  Agave Tequilana (Blue Agave) Stem Extract  Organic Mentha Piperita (Peppermint) Oil  Sodium Chloride (Salt)  Organic Stevia Rebaudiana Leaf/Stem Extract  Xanthan Gum  Organic Menthol
114,"Honest Sanitizing Alcohol Wipes, Grapefruit Grove Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 65%  Inactive Ingredient: Aloe Barbadensis Leaf Extract  Citrus Paradisi (Grapefruit) Peel Oil  Ethyl Butyrate  Ethyl Hydroxypyrone  Furaneol  Gamma-Undecalactone  Glycerin  Grapefruit Mercaptan  Limonene  Methylbenzyl Acetate  Neral  Triethyl Citrate  Water
115,Owl in a Towel Bergamot Deodorant Cream Rating,Antiperspirant/Deodorant,Caprylic/Capric Triglyceride (Coconut derived)  Powdered Sugar  Sodium Bicarbonate (Baking Soda)  Maranta Arundinacea (Arrowroot) Root Powder  Beeswax  Cocos Nucifera (Coconut) Oil  Jojoba Esters*  Polyglyceryl-3 Beeswax*  Polyglyceryl-6 Distearate*  Cetyl Alcohol*  Butyrospermum Parkii (Shea) Butter  Organic Corn Starch  Simmondsia Chinensis (Jojoba) Seed Oil  Citrus Aurantium Bergamia (Bergamot) Peel Oil  Tocopherol (Vitamin E)
116,"Lowen's Natural Skin Care Lip Balm, Pumpkin Pie Rating",Lip Balm,Alberta Bee's Wax  Alberta Organic Canola Oil  Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes  Vegetable Glycerin  Fair Trade Organic Butyrosperimum Parkii (Shea) Butter  Menthol  Rosmarinus Officinalis  (Rosemary) Leaf Oil  Hyaluronic Acid  Myristica fragrans (Nutmeg) Kernel Oil  Cinnamomum Zeylanicum Leaf Oil
117,"Each & Every Aluminum Free Deodorant, Sandalwood & Black Pepper Rating",Antiperspirant/Deodorant,Caprylic/Capric Triglyceride  Tapioca Starch  Ozokerite  Magnesium Hydroxide  Magnesium Carbonate  Piroctone Olamine  Fusanus Spicatus Wood Oil  Juniperus Virginiana Oil  Piper Nigrum (Pepper) Seed Oil  Zingiber Officinale (Ginger) Root Oil  Gamma-Nonalactone  Vetiveria Zizanoides Root Oil
118,Marin Bee Lip Repair Rating,Lip Balm,Ricinus Communis (Castor) Seed Oil  Olea Europaea (Olive) Fruit Oil*  Hydrogenated Castor Oil  Beeswax  California Wildflower Honey  Calendula Officinalis Flower Extract  Punica Granatum (Pomegranate) Sterols  Butyrospermum Parkii (Shea) Butter*  Theobroma Cacao (Cocoa) Seed Butter*  Carthamus Tinctorius (Safflower) Seed Oil  Copernicia Cerifera (Carnauba) Wax  Euphorbia Cerifera (Candelilla) Wax  Mica  Iron Oxides; *certified organic
119,"ATTITUDE Super Leaves Plastic Free Deodorant, White Tea Leaves Rating",Antiperspirant/Deodorant,Maranta arundinacea (arrowroot) root powder  butyrospermum parkii (shea) butter  sodium bicarbonate  cocos nucifera (coconut) oil  zea mays (corn) starch  stearyl alcohol  cetearyl alcohol  ricinus communis (castor) seed oil  coco caprylate/caprate  euphorbia cerifera (candelilla) wax  copernicia cerifera (carnauba) wax  camellia sinensis (white tea) leaf extract  rosmarinus officinalis (rosemary) leaf extract  triethyl citrate  hexyl salicylate (floral)  pentadecalactone (fruit).
